total_quantity,total_revenue,avg_price,age
4,624.84,156.21,23
2,65.02,32.51,25
1,70.93,70.93,73
4,815.76,203.94,33
5,1319.35,263.87,65
2,548.2,274.1,54
1,34.64,34.64,44
4,770.04,192.51,53
2,63.02,31.51,49
1,286.34,286.34,63
5,600.1,120.02,67
2,732.84,366.42,58
5,339.6,67.92,47
5,484.7,96.94,22
2,55.18,27.59,58
1,38.38,38.38,34
5,649.1500000000001,129.83,44
3,245.88,81.96,63
2,203.4,101.7,48
2,905.2,452.6,48
2,72.74,36.37,35
5,1838.25,367.65,65
4,1462.16,365.54,61
5,429.6,85.92,41
5,2046.75,409.35,23
3,774.8399999999999,258.28,65
3,1185.1200000000001,395.04,44
1,187.51,187.51,46
3,979.6500000000001,326.55,35
3,459.36,153.12,28
4,905.8,226.45,46
4,1589.84,397.46,40
3,1128.57,376.19,28
5,974.1500000000001,194.83,42
2,552.22,276.11,69
5,1274.0,254.8,54
2,364.12,182.06,35
1,40.2,40.2,59
5,2044.75,408.95,38
4,1638.32,409.58,46
3,619.14,206.38,63
2,746.72,373.36,56
1,394.06,394.06,18
1,496.5,496.5,25
4,1142.88,285.72,26
5,129.35,25.87,40
4,454.56,113.64,57
4,503.64,125.91,24
1,357.97,357.97,55
5,899.5999999999999,179.92,48
5,1062.1,212.42,73
1,323.83,323.83,63
5,2125.5,425.1,51
4,932.48,233.12,23
5,102.30000000000001,20.46,34
2,219.94,109.97,69
5,304.1,60.82,56
3,1117.83,372.61,69
2,545.56,272.78,32
2,463.7,231.85,74
2,700.3,350.15,19
2,951.54,475.77,65
4,1522.12,380.53,45
3,1067.34,355.78,72
2,513.82,256.91,58
2,427.94,213.97,51
2,370.8,185.4,39
1,71.83,71.83,28
4,583.44,145.86,59
2,409.92,204.96,57
3,1422.96,474.32,21
3,716.22,238.74,34
1,124.08,124.08,59
4,1435.8,358.95,68
3,625.41,208.47,39
1,306.5,306.5,47
1,260.52,260.52,37
5,1876.35,375.27,47
4,89.04,22.26,70
5,520.25,104.05,28
5,493.8,98.76,20
4,1851.28,462.82,55
4,842.2,210.55,48
4,1042.56,260.64,53
2,867.66,433.83,26
4,387.76,96.94,56
2,664.94,332.47,68
5,2063.5,412.7,29
4,1904.52,476.13,70
1,145.57,145.57,61
2,703.68,351.84,50
2,216.68,108.34,70
5,812.25,162.45,52
1,118.31,118.31,33
3,1004.1299999999999,334.71,26
4,195.76,48.94,23
4,1186.0,296.5,25
2,735.56,367.78,45
2,361.34,180.67,24
3,1093.65,364.55,51
3,660.96,220.32,49
4,1200.12,300.03,34
2,137.02,68.51,60
5,1810.5500000000002,362.11,62
5,2342.75,468.55,68
4,1335.68,333.92,44
2,604.98,302.49,31
2,515.62,257.81,31
3,590.91,196.97,34
2,782.86,391.43,44
4,1165.16,291.29,65
3,682.17,227.39,39
1,84.68,84.68,40
5,857.75,171.55,30
2,999.0,499.5,66
3,119.01,39.67,37
4,1106.92,276.73,55
1,63.56,63.56,28
2,686.74,343.37,56
4,1939.24,484.81,43
2,597.26,298.63,33
3,979.11,326.37,39
5,114.3,22.86,34
5,624.55,124.91,54
2,579.94,289.97,70
1,54.94,54.94,62
1,138.85,138.85,63
3,578.76,192.92,68
4,145.08,36.27,18
1,247.45,247.45,47
2,262.44,131.22,32
5,1087.75,217.55,24
5,971.35,194.27,53
2,86.06,43.03,56
5,1496.6999999999998,299.34,59
2,92.24,46.12,66
4,1994.64,498.66,56
5,964.0,192.8,35
3,1225.3799999999999,408.46,57
2,183.52,91.76,49
2,616.14,308.07,68
4,943.24,235.81,43
1,51.1,51.1,36
5,1988.15,397.63,53
5,2099.9,419.98,55
5,312.3,62.46,54
3,662.1899999999999,220.73,26
5,1824.5500000000002,364.91,71
1,268.26,268.26,29
5,2352.15,470.43,25
1,231.51,231.51,41
2,886.98,443.49,67
1,372.43,372.43,38
3,716.3100000000001,238.77,49
2,191.98,95.99,39
5,1002.2,200.44,34
5,598.75,119.75,20
2,315.12,157.56,27
3,1106.73,368.91,52
1,366.61,366.61,57
3,1034.31,344.77,43
1,330.94,330.94,31
4,1226.64,306.66,40
4,243.04,60.76,64
4,1798.2,449.55,29
3,239.88,79.96,21
4,1023.56,255.89,51
5,329.35,65.87,29
5,1437.5,287.5,73
1,65.69,65.69,71
2,706.46,353.23,65
2,904.4,452.2,25
3,428.52,142.84,38
1,467.54,467.54,73
5,2282.75,456.55,60
2,940.16,470.08,54
4,172.92,43.23,60
2,961.58,480.79,48
3,1369.8899999999999,456.63,75
3,331.65,110.55,44
3,350.21999999999997,116.74,27
4,982.6,245.65,66
3,488.09999999999997,162.7,18
1,408.63,408.63,21
1,235.88,235.88,40
2,585.8,292.9,60
1,470.23,470.23,26
2,642.28,321.14,26
5,2331.9,466.38,67
1,79.8,79.8,51
1,366.27,366.27,44
1,497.89,497.89,58
5,773.6,154.72,39
4,442.68,110.67,73
5,83.5,16.7,26
1,75.71,75.71,41
3,1040.46,346.82,18
1,324.51,324.51,35
1,478.75,478.75,51
5,1678.0500000000002,335.61,34
2,757.78,378.89,51
4,1337.48,334.37,24
3,797.31,265.77,18
3,217.98,72.66,39
5,670.6,134.12,49
4,936.16,234.04,68
3,597.9300000000001,199.31,23
3,1076.46,358.82,41
4,1419.32,354.83,64
3,1004.01,334.67,23
3,633.87,211.29,47
4,784.64,196.16,21
5,1689.0,337.8,28
3,88.56,29.52,20
1,305.82,305.82,39
3,275.37,91.79,68
3,1431.51,477.17,59
4,247.64,61.91,38
2,967.92,483.96,25
1,96.75,96.75,39
3,1286.85,428.95,43
2,559.62,279.81,61
1,415.49,415.49,44
2,735.88,367.94,32
5,1859.1999999999998,371.84,52
5,127.75,25.55,42
3,171.96,57.32,28
4,86.4,21.6,18
4,1916.48,479.12,39
4,163.12,40.78,28
1,234.56,234.56,55
1,127.53,127.53,43
2,975.86,487.93,61
1,60.16,60.16,61
4,1689.92,422.48,42
2,673.78,336.89,26
3,304.35,101.45,33
1,24.0,24.0,71
5,442.84999999999997,88.57,28
